geometry_wkt,density
"POLYGON ((-74.00956173719835 40.74999623957772, -74.0095350041424 40.75179769567955, -74.01190386328847 40.751818002098155, -74.01193053243331 40.750016544713745, -74.00956173719835 40.74999623957772))",0
"POLYGON ((-74.0095350041424 40.75179769567955, -74.00950826866794 40.75359915120274, -74.01187719173087 40.75361945890399, -74.01190386328847 40.751818002098155, -74.0095350041424 40.75179769567955))",0
"POLYGON ((-74.00950826866794 40.75359915120274, -74.00948153077472 40.755400606147305, -74.01185051776031 40.75542091513127, -74.01187719173087 40.75361945890399, -74.00950826866794 40.75359915120274))",0
"POLYGON ((-74.00948153077472 40.755400606147305, -74.00945479046248 40.75720206051325, -74.0118238413765 40.757222370780006, -74.01185051776031 40.75542091513127, -74.00948153077472 40.755400606147305))",0
"POLYGON ((-74.00945479046248 40.75720206051325, -74.00942804773099 40.75900351430054, -74.01179716257923 40.759023825850136, -74.0118238413765 40.757222370780006, -74.00945479046248 40.75720206051325))",0
"POLYGON ((-74.00942804773099 40.75900351430054, -74.00940130257999 40.76080496750917, -74.01177048136823 40.7608252803417, -74.01179716257923 40.759023825850136, -74.00942804773099 40.75900351430054))",0
"POLYGON ((-74.00940130257999 40.76080496750917, -74.00937455500923 40.76260642013916, -74.01174379774325 40.762626734254674, -74.01177048136823 40.7608252803417, -74.00940130257999 40.76080496750917))",0
"POLYGON ((-74.00937455500923 40.76260642013916, -74.00934780501846 40.76440787219047, -74.01171711170406 40.76442818758905, -74.01174379774325 40.762626734254674, -74.00937455500923 40.76260642013916))",0
"POLYGON ((-74.00934780501846 40.76440787219047, -74.00932105260745 40.76620932366312, -74.01169042325039 40.766229640344825, -74.01171711170406 40.76442818758905, -74.00934780501846 40.76440787219047))",0
"POLYGON ((-74.00932105260745 40.76620932366312, -74.00929429777592 40.768010774557105, -74.011663732382 40.76803109252199, -74.01169042325039 40.766229640344825, -74.00932105260745 40.76620932366312))",0
"POLYGON ((-74.00929429777592 40.768010774557105, -74.00926754052367 40.769812224872375, -74.01163703909866 40.76983254412054, -74.011663732382 40.76803109252199, -74.00929429777592 40.768010774557105))",0
"POLYGON ((-74.00926754052367 40.769812224872375, -74.0092407808504 40.77161367460898, -74.01161034340011 40.77163399514046, -74.01163703909866 40.76983254412054, -74.00926754052367 40.769812224872375))",0
"POLYGON ((-74.0092407808504 40.77161367460898, -74.0092140187559 40.773415123766874, -74.0115836452861 40.77343544558176, -74.01161034340011 40.77163399514046, -74.0092407808504 40.77161367460898))",0
"POLYGON ((-74.0092140187559 40.773415123766874, -74.00918725423989 40.77521657234607, -74.01155694475636 40.775236895444436, -74.0115836452861 40.77343544558176, -74.0092140187559 40.773415123766874))",0
"POLYGON ((-74.00918725423989 40.77521657234607, -74.00916048730215 40.77701802034656, -74.01153024181069 40.77703834472845, -74.01155694475636 40.775236895444436, -74.00918725423989 40.77521657234607))",0
"POLYGON ((-74.00916048730215 40.77701802034656, -74.0091337179424 40.77881946776832, -74.0115035364488 40.77883979343383, -74.01153024181069 40.77703834472845, -74.00916048730215 40.77701802034656))",0
