Polygon Number,Longitude,Latitude
1,-73.919029,40.848199
1,-73.919329,40.847953
1,-73.919371,40.847982
1,-73.919453,40.847915
1,-73.919534,40.847972
1,-73.919152,40.848285
1,-73.919029,40.848199
2,-73.921952,40.849629
2,-73.921911,40.849679
2,-73.921764,40.84961
2,-73.921805,40.84956
2,-73.921952,40.849629
3,-73.920502,40.850113
3,-73.920453,40.850167
3,-73.920262,40.850069
3,-73.92031,40.850015
3,-73.920502,40.850113
4,-73.92056,40.851403
4,-73.920531,40.851445
4,-73.92037,40.851381
4,-73.920398,40.85134
4,-73.92056,40.851403
5,-73.912343,40.852184
5,-73.912472,40.852098
5,-73.912589,40.852199
5,-73.91246,40.852285
5,-73.912343,40.852184
6,-73.912783,40.852742
6,-73.912694,40.852802
6,-73.912614,40.852733
6,-73.912704,40.852674
6,-73.912783,40.852742
7,-73.895164,40.850722
7,-73.895212,40.850616
7,-73.89524,40.850593
7,-73.895318,40.850422
7,-73.895387,40.85044
7,-73.895443,40.850394
7,-73.8954,40.850364
7,-73.895501,40.850143
7,-73.895492,40.850141
7,-73.895544,40.850025
7,-73.895706,40.850067
7,-73.895684,40.850116
7,-73.895637,40.850104
7,-73.895605,40.850175
7,-73.895657,40.850189
7,-73.895554,40.850417
7,-73.895592,40.850444
7,-73.895567,40.8505
7,-73.895504,40.850484
7,-73.895478,40.850541
7,-73.895448,40.850565
7,-73.895428,40.850609
7,-73.895464,40.850634
7,-73.895421,40.850728
7,-73.895366,40.850714
7,-73.895341,40.850768
7,-73.895164,40.850722
8,-73.920458,40.839383
8,-73.920409,40.839495
8,-73.920061,40.839407
8,-73.92011,40.839296
8,-73.920458,40.839383
9,-73.92714,40.835322
9,-73.927233,40.835141
9,-73.927363,40.835179
9,-73.927312,40.835279
9,-73.927347,40.83529
9,-73.92739,40.835205
9,-73.927556,40.835253
9,-73.927553,40.835259
9,-73.927719,40.835307
9,-73.92767,40.835403
9,-73.92771,40.835414
9,-73.92776,40.835315
9,-73.927879,40.83535
9,-73.927795,40.835514
9,-73.92714,40.835322
10,-73.926396,40.835445
10,-73.926496,40.835266
10,-73.926628,40.835308
10,-73.926528,40.835487
10,-73.926396,40.835445
11,-73.918084,40.829859
11,-73.917419,40.829643
11,-73.917516,40.829473
11,-73.91818,40.829689
11,-73.918084,40.829859
12,-73.919661,40.815625
12,-73.919844,40.815664
12,-73.919799,40.815783
12,-73.919616,40.815743
12,-73.919661,40.815625
13,-73.917613,40.819276
13,-73.917685,40.819296
13,-73.91765,40.819368
13,-73.917578,40.819348
13,-73.917613,40.819276
14,-73.925909,40.810838
14,-73.926039,40.810633
14,-73.926091,40.810652
14,-73.925958,40.810862
14,-73.926101,40.810914
14,-73.92624,40.810694
14,-73.926441,40.810767
14,-73.92627,40.811037
14,-73.926359,40.811069
14,-73.926217,40.811293
14,-73.926016,40.81122
14,-73.926106,40.811077
14,-73.925955,40.811023
14,-73.925945,40.811038
14,-73.925544,40.810893
14,-73.92564,40.810741
14,-73.925909,40.810838
15,-73.918088,40.813592
15,-73.918402,40.813105
15,-73.918893,40.813286
15,-73.918566,40.813794
15,-73.918436,40.813746
15,-73.918522,40.813613
15,-73.918254,40.813514
15,-73.918182,40.813626
15,-73.918088,40.813592
16,-73.917813,40.800767
16,-73.917512,40.801287
16,-73.91763,40.801326
16,-73.917581,40.801411
16,-73.91745,40.801368
16,-73.917457,40.801354
16,-73.917121,40.801243
16,-73.917463,40.800651
16,-73.917813,40.800767
17,-73.917626,40.805209
17,-73.917615,40.805416
17,-73.917478,40.805412
17,-73.917505,40.804847
17,-73.917647,40.804851
